keys,en,zh
"command.resolve.executing","Resolving...","天机演算中..."
"command.resolve.idle","Orders complete — enter Resolve phase","军令已毕，进入决胜阶段"
"command.aftermath","The battle is over. History records.","战事已毕，史记入册。"
"command.nextPhase","Next phase","下一阶段"
"command.weather","Weather","天时"
"command.weather.clear","☀️ Clear","☀️ 晴"
"command.weather.rain","🌧️ Rain","🌧️ 雨"
"command.weather.wind","💨 Wind","💨 风"
"command.weather.fog","🌫️ Fog","🌫️ 雾"
"command.weather.change","Change","变天"
"ai.commander","Enemy AI","敌将"
"ai.cautious","Cautious","持重"
"ai.balanced","Balanced","相机"
"ai.aggressive","Aggressive","凶悍"
"context.attack","Attack","攻击"
"context.scout","Send Scout","派遣斥候侦察"
"log.title","Combat Log","战报反馈流 · Combat Log"
"log.waiting","Awaiting turn start...","等待回合开始..."
"log.count","entries","条记录"
"log.unit.placeholder","","条"
"log.supplyCut","🔪 [CUT] Supply line severed!","🔪 【断粮】粮道已被切断！"
"log.supplyRestored","🔄 [RESTORED] Supply line reconnected.","🔄 【复通】粮道已恢复。"
"log.fakeDeployed","🎭 [DECOY] {name} deployed — enemy sees {size} troops!","🎭 【疑兵】部署 {name}，在敌看来似有 {size} 之众！"
"log.fakeRevealed","💥 [EXPOSED] Decoy discovered by {enemy} — straw dummies destroyed!","💥 【识破】疑兵被{enemy}抵近识破，草人虚旗尽毁！"
"log.unitMoved","🚶 {name} moved to ({lat}, {lng})","🚶 {name} 机动转移至 ({lat}, {lng})"
"log.supplyCutUnit","📉 [SUPPLY CUT] {name} supply severed! Morale plummets to {morale} — {state}","📉 【断粮】{name} 补给线断绝！士气暴跌至 {morale}，{state}"
"log.supplyRestoredUnit","📈 [SUPPLIED] {name} supply restored. Morale recovers to {morale}","📈 【补给】{name} 粮道畅通，士气恢复至 {morale}"
"log.routed","💀 [ROUTED] {name} morale collapsed — troops flee in panic!","💀 【溃散】{name} 士气崩溃，士卒四散奔逃！"
"log.panicContagion","😱 [PANIC] {name} {reason} Morale {penalty}","😱 【恐慌传染】{name} {reason} 士气 {penalty}"
"log.scoutReport","🔭 [SCOUT] {narrative} (Confidence: {confidence}%)","🔭 【斥候】{narrative}（置信度: {confidence}%）"
"log.turnSummary","[Turn {turn}] Allied: {alliedCount} units, {alliedSize} men | Enemy: {hostileCount} units, {hostileSize} men | Cuts: {cutEdges} | Decoys: {fakeUnits}","【第{turn}回合结算】 友军: {alliedCount}部 {alliedSize}人 | 敌军: {hostileCount}部 {hostileSize}人 | 断粮: {cutEdges}道 | 疑兵: {fakeUnits}支"
"log.phaseEnter","⏭️ Entering: {phase}","⏭️ 进入「{phase}」阶段"
"log.scenarioLoaded","[System] Scenario ""{name}"" loaded. {count} units deployed.","【系统】场景「{name}」载入完毕。共 {count} 支部队待命。"
"log.resolveError","⚠️ Resolution error — please retry.","⚠️ 天机演算受阻，请重试。"
"log.victory","🏆 [VICTORY] {description} Rank: {rank}","🏆 【大捷】{description} 评级: {rank}"
"log.defeat","💀 [DEFEAT] {description}","💀 【兵败】{description}"
"combat.fakeAttacked","⚔️ {defender} attacks {attacker} — the camp is empty! Wasted effort!","⚔️ {defender}攻击{attacker}——发现营寨空虚无兵，白费力气！"
"combat.fakeDefended","⚔️ {attacker} raids {defender} — straw men and painted flags collapse! A decoy!","⚔️ {attacker}突袭{defender}——草人虚旗应声而倒，此乃疑兵空营！"
"combat.real","⚔️ {attacker} clashes with {defender}! Losses: {attLoss} vs {defLoss}.","⚔️ {attacker}与{defender}交锋！折损{attLoss}人，敌损{defLoss}人。"
"combat.deathGround","(Death ground — desperate frenzy!)","（死地血战，士气暴涨！）"
"morale.sharp.name","Sharp","锐气"
"morale.sharp.desc","Avoid the sharp edge. +25% combat power","避其锐气。战力+25%"
"morale.sluggish.name","Sluggish","惰气"
"morale.sluggish.desc","Stalemate. No modifier","两军相持，战力无起伏"
"morale.retreat.name","Retreating","归气"
"morale.retreat.desc","Do not obstruct retreating troops. -30% combat power","归师勿遏。士气瓦解，战力-30%"
"morale.state.high","🟢 High Spirits","🟢 战意高昂"
"morale.state.shaken","🟡 Shaken (reduced combat)","🟡 军心动摇 (战力下降)"
"morale.state.panic","🔴 Panicked (verge of flight)","🔴 极度恐慌 (逃跑边沿)"
"morale.state.routed","⚫ Routed (lost control)","⚫ 彻底溃散 (失去控制)"
"terrain.SCATTERED","Scattered Ground","散地"
"terrain.LIGHT","Light Ground","轻地"
"terrain.CONTENTIOUS","Contentious Ground","争地"
"terrain.FACILE","Facile Ground","交地"
"terrain.FOCAL","Focal Ground","衢地"
"terrain.HEAVY","Heavy Ground","重地"
"terrain.ENTRAPPING","Entrapping Ground","圮地"
"terrain.FRONTIER","Frontier Ground","围地"
"terrain.DEATH","Death Ground","死地"
"victory.title","Relieve Zhao by Besieging Wei","围魏救赵"
"victory.rank.military","Military Dominance","军事优势"
"victory.rank.supply","Supply Integrity","补给完整"
"victory.rank.deception","Deception Efficacy","欺骗效力"
"victory.rank.mandate","Mandate Preserved","天命保全"
"rank.S","S — Whole Victory: Subdue the enemy without fighting","全胜 — 不战而屈人之兵，善之善者也"
"rank.A","A — Decisive Victory: Know the enemy and know yourself","大捷 — 知彼知己，百战不殆"
"rank.B","B — Minor Victory: Victory can be known but not made","小胜 — 胜可知而不可为"
"rank.C","C — Pyrrhic Victory: Kill one thousand, lose eight hundred","惨胜 — 杀敌一千，自损八百"
"rank.D","D — Defeat: Know neither enemy nor self","败军 — 不知彼不知己，每战必殆"
"rank.F","F — Annihilation: A fallen kingdom cannot be restored","覆军 — 亡国不可以复存，死者不可以复生"
"quote.S","To fight and conquer in all your battles is not supreme excellence; supreme excellence consists in breaking the enemy's resistance without fighting.","不战而屈人之兵，善之善者也。故上兵伐谋，其次伐交，其次伐兵，其下攻城。"
"quote.A","If you know the enemy and know yourself, you need not fear the result of a hundred battles.","知彼知己者，百战不殆。故善战者，立于不败之地，而不失敌之败也。"
"quote.B","What the ancients called a clever fighter is one who not only wins, but excels in winning with ease.","胜可知而不可为。不可胜者，守也；可胜者，攻也。"
"quote.C","There is no instance of a country having benefited from prolonged warfare.","杀敌一千，自损八百。故兵贵胜，不贵久。"
"quote.D","No ruler should put troops into the field merely to gratify his own spleen; no general should fight a battle simply out of pique.","不知彼不知己，每战必殆。主不可以怒而兴师，将不可以愠而致战。"
"quote.F","A kingdom that has once been destroyed can never come again into being; nor can the dead ever be brought back to life.","亡国不可以复存，死者不可以复生。故明君慎之，良将警之。"
"card.qizheng.name","Qi & Zheng","奇正相生"
"card.qizheng.quote","Engage the enemy with the orthodox, but secure victory with the unorthodox.","以正合，以奇胜。故善出奇者，无穷如天地，不竭如江河。"
"card.huogong.name","Fire Attack","火攻奇袭"
"card.huogong.quote","There are five ways of attacking with fire: burn soldiers, burn stores, burn baggage, burn arsenals, and use incendiary missiles.","凡火攻有五：一曰火人，二曰火积，三曰火辎，四曰火库，五曰火队。"
"card.wujian.name","Five Spies","五间妙连"
"card.wujian.quote","Knowledge of the enemy's dispositions can only be obtained from other men.","凡用兵之法，必先知敌之细作。五间俱起，莫知其道。"
"card.shangzhan.name","Trade Monopoly","商战垄断"
"card.shangzhan.quote","Control the goods of the realm and seize the profits of the empire.","通天下之货，夺天下之利。治私盐重税之务，以实国课。"
"unit.qi_main","Qi Main Army","齐军主力"
"unit.zhao_garrison","Zhao Garrison","赵国防军"
"unit.qi_supply","Qi Supply Train","齐军粮道"
"unit.wei_siege","Wei Siege Force","魏军围城主力"
"unit.wei_guard","Wei Capital Guard","魏都守军"
"unit.wei_supply","Wei Supply Train","魏军粮道"
"person.sunbin","Sun Bin","孙膑"
"person.pangjuan","Pang Juan","庞涓"
"person.kingzhao","King of Zhao","赵王"
"person.kingwei","Wei Garrison Commander","魏王守将"
"person.qisupply","Qi Logistics Corps","齐军辎重营"
"person.weisupply","Wei Logistics Corps","魏军辎重营"
"node.daliang","Daliang (Wei Capital)","大梁 (魏都)"
"node.handan","Handan (Zhao Capital)","邯郸 (赵都)"
"node.qidepot","Qi Supply Depot","齐军补给站"
"app.title","Sun Tzu — Feudal Grand Strategy Sandbox","《孙子》封建大战略推演本铺"
"app.subtitle","Historical faction hegemony simulation & real-time intelligence network","历史阵营霸权沙盒推演与实时军情网络"
"app.status","Campaign Season Ready","战役赛季就绪"
"hud.mandate","Mandate","天命值"
"hud.coffers","Treasury","国库金匮"
"hud.coffers.unit","gold","镒"
"hud.stability","Stability","安邦稳定度"
"auth.logout.button","Log Out","注销雅号"
"auth.logout.title","Clear cache and return to login","清空缓存，退回大门并开启新手引导"
"sound.unmute.title","Enable classical audio","开启古典背景声效"
"sound.mute.title","Mute","静音"
"loading.text","Validating strategist credentials...","天演罗盘印信鉴别中..."
"login.title","Sun Tzu's Art of War — Grand Strategy Sandbox","《孙子兵法》天演兵道本铺"
"login.subtitle","Historical Intrigue & Tactical Simulation","历史权谋与战术沙盒"
"login.quote","""War is of vital importance to the State. It is a matter of life and death, a road either to safety or to ruin.""","""兵者，国之大事也。死生之地，存亡之道，不可不察也。"""
"login.tab.player","Warlord Login","布衣策士入营"
"login.tab.admin","Grand Marshal","大司马督阁"
"login.field.nickname.label","Enter your warlord name","请输入或选定您的策士雅号"
"login.field.nickname.placeholder","e.g. Sun Bin, Zhang Yi...","请输入或选择雅号，如：苏秦..."
"login.field.password.label","Set or enter your password","请设置或填入通关密匙"
"login.field.password.placeholder","Minimum 6 characters","不少于六位之密匙"
"login.register.check","New account (Register)","初次入朝，新立策士玉牌 (注册)"
"login.monikers.label","🛡️ Suggested historical names:","🛡️ 策事堂古贤大贤备选："
"login.button.submit","Enter the Court","送信入朝 · 即刻起誓"
"login.admin.label","Grand Marshal passcode","大司马特权入阁密令"
"login.admin.placeholder","Enter passcode (suntzu666)","请输入密令和密钥 (suntzu666)"
"login.admin.hint","💡 Developer note: the Grand Marshal account unlocks the GDD editor, AI mechanic tools, and timeline speed controls.","💡 操作员辅导：大司马主策划在与 AI 聊天或自主调试全篇核心机制（机制法典）与沙盒时纪速度等高级后台功能时，特以此凭据登录。"
"login.admin.hint2","Default test passcode: ","默认测试体验密码为："
"login.admin.button","Enter as Grand Marshal","盖鉴御命印信 · 督理总坛"
"login.version","Perpetual Sandbox v2.9.2-release","永续数理沙盒系统版本 v2.9.2-发布版"
"login.error.missing","Warlord name and password are both required","雅号与入朝密匙缺一不可"
"login.error.tooshort","Password must be at least 6 characters","防伪关防，密匙至少须为六字决"
"login.error.alreadyRegistered","This name is already taken — uncheck ""New Account"" to log in","此雅号已有录入，若为其主，请取消「新立玉牌」直登"
"login.error.wrongPassword","No matching record — check your credentials","兵籍名册查实无此人，或主公记错密匙"
"login.error.notFound","No account found — check ""New Account"" to register","未见其人档案，若初次造访，请勾选「新立玉牌」注册"
"login.ready","My lord, the simulation awaits. Swear the oath and command your forces!","主公，天演已备。盖鉴启誓，即刻运筹天下！"
"nav.category.tactical","🎯 Grand Strategy Sandbox","🎯 战局推演本署"
"nav.category.court","🏛️ Imperial Court Command","🏛️ 朝堂中枢大司马"
"nav.category.faction","⛓️ Guilds & Merchants","⛓️ 军工刺客与世家大贾"
"tab.map_battle.name","Real-World Battle Map 🌍","真实地图作战 🌍"
"tab.map_battle.desc","Historical campaigns and Nine Lands terrain","神州实境战例与九地天演"
"tab.timeline.name","Dynasty Engine 📊","天命天演 📊"
"tab.timeline.desc","Rise and fall chronicle with imperial governance","朝代兴衰大纪事与皇家施政断案"
"tab.aristocrat.name","Nine Ranks Clans (Dir. 1)","九品门阀 (方向一)"
"tab.aristocrat.desc","Dynamic noble–imperial power struggle","动态推演世家与皇权的动态博弈"
"tab.reform.name","Dynastic Reform (Dir. 2)","变法改革 (方向二)"
"tab.reform.desc","Radical reforms and multi-faction backlash","激进新政与各阶层反噬推演"
"tab.succession.name","Imperial Succession (Dir. 3)","宫廷夺嫡 (方向三)"
"tab.succession.desc","Aging emperor orchestrates the nine-prince contest","老皇帝幕后操控九子夺嫡大戏"
"tab.tributary.name","Tributary System (Dir. 4)","羁縻朝贡 (方向四)"
"tab.tributary.desc","The Middle Kingdom and its vassal tribute network","天朝上国与周边藩国的朝贡体系推演"
"tab.ideology.name","Hundred Schools (Dir. 5)","诸子百家 (方向五)"
"tab.ideology.desc","Imperial ideological control and rival philosophies","帝国底层思想控制与排他性演化"
"tab.landmerge.name","Land Merger (Dir. 6)","土地兼并 (方向六)"
"tab.landmerge.desc","Economic deadlock and peasant migration cycles","经济死结与流民大潮的周期律"
"tab.secretpolice.name","Secret Police (Dir. 7)","酷吏缇骑 (方向七)"
"tab.secretpolice.desc","Imperial spy networks and the balance of terror","特务政治与皇帝猜忌的恐怖平衡"
"tab.factionalism.name","Court Factions (Dir. 8)","结党营私 (方向八)"
"tab.factionalism.desc","Bureaucratic factionalism and imperial infighting","科举取士与朋党之争内耗推演"
"tab.famine.name","Famine Relief (Dir. 9)","漕运赈灾 (方向九)"
"tab.famine.desc","Granary logistics and imperial economic lifelines","天灾常平仓与帝国经济生命线"
"tab.vassal.name","Vassal Pacification (Dir. 10)","宗室削藩 (方向十)"
"tab.vassal.desc","Enfeoffment edicts and princely civil wars","推恩令与诸侯靖难的内战博弈"
"tab.characternetwork.name","Power Network (Dir. 11)","权力图谱 (方向十一)"
"tab.characternetwork.desc","CK3-style lord–vassal bonds and psychological stress","CK3风格君臣羁绊与心理压力场"
"tab.macroeconomy.name","Dynastic Economy (Dir. 12)","王朝经济 (方向十二)"
"tab.macroeconomy.desc","V3-style salt-iron supply and demand simulation","V3风格盐铁宏观供需演化"
"tab.policy_tree.name","Policy Tree (Option A)","国策演进树 (方案A)"
"tab.policy_tree.desc","Visual node-based policy unlock system","视觉化的节点政策树解锁系统"
"tab.faction_parliament.name","Parliament (Option B)","派系议政殿 (方案B)"
"tab.faction_parliament.desc","V3-style interest group seat visualization","V3式利益集团可视化席位图"
"tab.reigns_swipe.name","Fate Cards (Option C)","命运卡牌 (方案C)"
"tab.reigns_swipe.desc","Reigns-style four-axis balance swipe decisions","Reigns四维平衡左右滑动抉择"
"tab.eu4_diplomacy.name","Geopolitical Network (Option D)","地缘外交网 (方案D)"
"tab.eu4_diplomacy.desc","EU4-style aggression, expansion, and encirclement","EU4动态侵略扩张与包围网"
"tab.logistics.name","Art of War: Net (Logistics)","兵者：局 (地网后勤)"
"tab.logistics.desc","AI-driven graph theory and army friction","AI驱动图论与大军摩擦系统"
"tab.deception.name","Art of War: Net (Deception)","兵者：局 (诡道迷雾)"
"tab.deception.desc","AI-driven false intelligence and psychological warfare","AI驱动虚假情报与心理战"
"tab.weijiu_scenario.name","Relieve Zhao by Besieging Wei ⚔️🔥","围魏救赵 ⚔️🔥"
"tab.weijiu_scenario.desc","Full integration: map + supply + deception + scoring","全场景整合：地图+补给+诡道+评分"
"tab.multiplayer.name","Grand Hall 🌟","天命总坛 🌟"
"tab.multiplayer.desc","Real-time multiplayer cloud governance","多人实时云端朝政对决"
"tab.war_philosophy.name","Art of War Survival 🔥","兵道生存 🔥"
"tab.war_philosophy.desc","Sun Tzu philosophy as survival simulation","以兵法为生存哲学的模拟推演"
"tab.combat.name","Unorthodox Warfare ⚔️","奇正军争 ⚔️"
"tab.combat.desc","Nine Lands, Five Dangers, and general attributes","虚实九地将领五危"
"tab.trade.name","Merchant Dynasties 💰","大商世家 💰"
"tab.trade.desc","Salt monopoly and social class ladder","私盐垄断与阶层天梯"
"tab.uprising_culture.name","Peasant Uprising 🚩","义军起义 🚩"
"tab.uprising_culture.desc","Peasant revolts and imperial suppression","流民暴动与平叛镇压"
"tab.gdd.name","Game Designer 📝","策划主编 📝"
"tab.gdd.desc","Core game design and architecture","游戏核心设计与架构"
"card.qizheng.desc","Grand strategy. Temporarily empowers combat and military decisions. Grants 35% military bonus for Battle Map, Unorthodox Warfare, and Art of War Survival modules.","军争大略。开启后，暂时对战斗攻防及军备决策赋能。对于【真实地图】【奇正军争】【兵道生存】模块提供 35% 军力与胜战结算加权。"
"card.qizheng.effect","+35% combat and victory rate","攻防胜战算率提高 35%"
"card.huogong.desc","Fire and ambush. Temporarily boosts battlefield burst or rebellion. Increases uprising and belief conversion rate by 50% in the Peasant Uprising module.","绝道烧营。暂时提升战场爆发或反叛信仰。对于【义军信仰】模块之起义爆发及信仰转化速度提升 50% 极效倍率。"
"card.huogong.effect","+50% uprising spread and fire attack rate","起义传布/火攻摧防速度增加 50%"
"card.wujian.desc","Espionage mastery. Temporarily boosts spy operations, subversion, and alliance chances. Provides 45% intelligence breakthrough for Five Spies, Diplomacy, and Succession modules.","谍谋幽玄。暂时强化细作刺采、离间攻心及结盟几率。对于【五间连环】【多边外交】【朝堂夺嫡】提供额定 45% 的情报突破胜算。"
"card.wujian.effect","+45% spy and diplomatic success rate","五间探察/外交结交率提升 45%"
"card.shangzhan.desc","Commercial dominance. Temporarily boosts tax efficiency and treasury. Increases merchant interest for Merchant Dynasties or treasury dividends in Dynasty Engine by 40%.","赋裕兵饷。暂时增调商业赋税效率及丰裕度。对于【大商世家】行商利息或【天命天演】财政分红增幅 40%。"
"card.shangzhan.effect","+40% tax and treasury dividend","盐铁商课/帑藏年税分红提振 40%"
"card.duration","30s active","30S 持续"
"card.expired","has expired — returning to standard operations.","持续威力消退，归于常法大盘。"
"card.art","Art","兵法"
"footer.copyright","© Art of War · Feudal Grand Strategy Async Governance · Local Xianyang Sandbox","© 《孙子》 封建大战略异步朝政策略游艺网盟 · 咸阳沙盘中枢本机"
"footer.version","Network Version: XIII·1117·Grand Marshal Edition","网络枢纽版本: 拾叁·壹壹壹柒·大司马典藏版"
"footer.location","Command HQ: Xianyang Chancellor's Office","大本营执事指挥处: 咸阳相国府"
